alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.0001,0.01,0.01,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.557148933410645,0.0,12.268855631351471,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.557148933410645,0.0,18.854983002878726,0.0,SG,ok,
0.001,0.001,0.01,0.0001,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.556248664855957,0.0,19.35970619134605,0.0,SG,ok,
0.001,0.001,0.01,0.001,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.556248664855957,0.0,18.630182060413063,0.0,SG,ok,
0.001,0.001,0.01,0.01,1000.0,1.0,10,1,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3864234983921051,0.0,11.556248664855957,0.0,12.267955362796783,0.0,0.7117066979408264,0.0,0.3252831995487213,0.0,0.3714917302131653,0.0,11.556248664855957,0.0,15.987007970921695,0.0,SG,ok,
0.001,0.0001,0.01,0.0001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.495251088403165,0.0,SG,ok,
0.001,0.0001,0.01,0.001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,19.672444626688957,0.0,SG,ok,
0.001,0.0001,0.01,0.01,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.332496643066406,0.0,48.21082538366318,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.81452871579677,0.0,SG,ok,
0.001,0.001,0.01,0.0001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.83450096193701,0.0,SG,ok,
0.001,0.001,0.01,0.001,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.25266997050494,0.0,SG,ok,
0.001,0.001,0.01,0.01,100.0,1.0,10,1,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8783287405967712,0.0,0.018850190564990044,0.0,0.8594785332679749,0.0,47.33159637451172,0.0,48.20992511510849,0.0,0.8721052408218384,0.0,0.018850190564990044,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.499702519737184,0.0,SG,ok,
