alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.0001,0.001,0.001,0.001,0.001,100.0,0.0,False,1,0.4846736192703247,0.0,0.00417924951761961,0.0,0.4804943799972534,0.0,1.7819297313690186,0.0,2.2666033506393433,0.0,0.4846736192703247,0.0,0.00417924951761961,0.0,0.4804943799972534,0.0,1.7819297313690186,0.0,2.2666033506393433,0.0,0.4846736192703247,0.0,0.00417924951761961,0.0,0.3714917302131653,0.0,1.7819297313690186,0.0,10.552694819867611,0.0,PD,ok,
0.001,0.01,0.001,0.01,0.001,0.001,100.0,0.0,False,1,0.48448994755744934,0.0,0.004184273071587086,0.0,0.48030567169189453,0.0,1.781997799873352,0.0,2.2664877474308014,0.0,0.48448994755744934,0.0,0.004184273071587086,0.0,0.48030567169189453,0.0,1.781997799873352,0.0,2.2664877474308014,0.0,0.48448994755744934,0.0,0.004184273071587086,0.0,0.3714917302131653,0.0,1.781997799873352,0.0,10.784448171034455,0.0,PD,ok,
0.001,0.001,0.001,0.01,0.001,0.001,100.0,0.0,False,1,0.4844858646392822,0.0,0.004184823948889971,0.0,0.48030105233192444,0.0,1.782015085220337,0.0,2.266500949859619,0.0,0.4844858646392822,0.0,0.004184823948889971,0.0,0.48030105233192444,0.0,1.782015085220337,0.0,2.266500949859619,0.0,0.4844858646392822,0.0,0.004184823948889971,0.0,0.3714917302131653,0.0,1.782015085220337,0.0,10.708107211627066,0.0,PD,ok,
0.001,0.0001,0.001,0.01,0.001,0.001,100.0,0.0,False,1,0.4844856262207031,0.0,0.004184893798083067,0.0,0.4803007245063782,0.0,1.7820167541503906,0.0,2.2665023803710938,0.0,0.4844856262207031,0.0,0.004184893798083067,0.0,0.4803007245063782,0.0,1.7820167541503906,0.0,2.2665023803710938,0.0,0.4844856262207031,0.0,0.004184893798083067,0.0,0.3714917302131653,0.0,1.7820167541503906,0.0,10.567108640447259,0.0,PD,ok,
0.001,0.1,0.001,0.1,0.001,0.001,100.0,0.0,False,1,0.4826469421386719,0.0,0.004234337247908115,0.0,0.47841259837150574,0.0,1.782678484916687,0.0,2.265325427055359,0.0,0.4826469421386719,0.0,0.004234337247908115,0.0,0.47841259837150574,0.0,1.782678484916687,0.0,2.265325427055359,0.0,0.4826469421386719,0.0,0.004234337247908115,0.0,0.3714917302131653,0.0,1.782678484916687,0.0,10.917313787154853,0.0,PD,ok,
0.001,0.01,0.001,0.1,0.001,0.001,100.0,0.0,False,1,0.4826045632362366,0.0,0.004240836948156357,0.0,0.4783637225627899,0.0,1.782867193222046,0.0,2.2654717564582825,0.0,0.4826045632362366,0.0,0.004240836948156357,0.0,0.4783637225627899,0.0,1.782867193222046,0.0,2.2654717564582825,0.0,0.4826045632362366,0.0,0.004240836948156357,0.0,0.3714917302131653,0.0,1.782867193222046,0.0,10.915405717678368,0.0,PD,ok,
0.001,0.001,0.001,0.1,0.001,0.001,100.0,0.0,False,1,0.48260053992271423,0.0,0.004241445567458868,0.0,0.4783591032028198,0.0,1.782885193824768,0.0,2.2654857337474823,0.0,0.48260053992271423,0.0,0.004241445567458868,0.0,0.4783591032028198,0.0,1.782885193824768,0.0,2.2654857337474823,0.0,0.48260053992271423,0.0,0.004241445567458868,0.0,0.3714917302131653,0.0,1.782885193824768,0.0,10.555052224546671,0.0,PD,ok,
0.001,0.0001,0.001,0.1,0.001,0.001,100.0,0.0,False,1,0.4826001524925232,0.0,0.004241513088345528,0.0,0.4783586263656616,0.0,1.7828868627548218,0.0,2.265487015247345,0.0,0.4826001524925232,0.0,0.004241513088345528,0.0,0.4783586263656616,0.0,1.7828868627548218,0.0,2.265487015247345,0.0,0.4826001524925232,0.0,0.004241513088345528,0.0,0.3714917302131653,0.0,1.7828868627548218,0.0,10.623149143531919,0.0,PD,ok,
0.001,0.1,0.01,0.001,0.001,0.001,100.0,0.0,False,1,0.4837643802165985,0.0,0.004264970310032368,0.0,0.4794993996620178,0.0,1.781929612159729,0.0,2.2656939923763275,0.0,0.4837643802165985,0.0,0.004264970310032368,0.0,0.4794993996620178,0.0,1.781929612159729,0.0,2.2656939923763275,0.0,0.4837643802165985,0.0,0.004264970310032368,0.0,0.3714917302131653,0.0,1.781929612159729,0.0,10.893256747163832,0.0,PD,ok,
0.001,0.1,0.01,0.01,0.001,0.001,100.0,0.0,False,1,0.48358258605003357,0.0,0.00427020899951458,0.0,0.47931239008903503,0.0,1.7820134162902832,0.0,2.2655960023403168,0.0,0.48358258605003357,0.0,0.00427020899951458,0.0,0.47931239008903503,0.0,1.7820134162902832,0.0,2.2655960023403168,0.0,0.48358258605003357,0.0,0.00427020899951458,0.0,0.3714917302131653,0.0,1.7820134162902832,0.0,10.956139585003257,0.0,PD,ok,
0.001,0.01,0.01,0.001,0.001,0.001,100.0,0.0,False,1,0.48372283577919006,0.0,0.0042710560373961926,0.0,0.4794517755508423,0.0,1.7821087837219238,0.0,2.265831619501114,0.0,0.48372283577919006,0.0,0.0042710560373961926,0.0,0.4794517755508423,0.0,1.7821087837219238,0.0,2.265831619501114,0.0,0.48372283577919006,0.0,0.0042710560373961926,0.0,0.3714917302131653,0.0,1.7821087837219238,0.0,10.843755220994353,0.0,PD,ok,
0.001,0.001,0.01,0.001,0.001,0.001,100.0,0.0,False,1,0.48371899127960205,0.0,0.004271626938134432,0.0,0.4794473648071289,0.0,1.7821263074874878,0.0,2.26584529876709,0.0,0.48371899127960205,0.0,0.004271626938134432,0.0,0.4794473648071289,0.0,1.7821263074874878,0.0,2.26584529876709,0.0,0.48371899127960205,0.0,0.004271626938134432,0.0,0.3714917302131653,0.0,1.7821263074874878,0.0,10.606073242612183,0.0,PD,ok,
